timestamp,mac,actual_x,actual_y,heron_x,heron_y,heron_method,heron_confidence,heron_err,heron_fallback,tri_x,tri_y,tri_method,tri_confidence,tri_err,tri_fallback
2026-03-17T14:49:23.602516,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:24.347990,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:25.305533,4C:75:25:CB:80:A2,2.0,0.0,1.2345189443353886,0.3528311795812712,heron,high,0.8428826062187541,no,1.2345189443353886,0.3528311795812712,heron,medium,0.8428826062187541,yes
2026-03-17T14:49:51.550335,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:52.557456,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:53.325075,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:54.179107,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:54.891477,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:56.953883,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:57.959136,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:58.752630,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:49:59.471473,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:00.503452,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:01.904416,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:03.545141,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:08.368597,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:09.357052,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
2026-03-17T14:50:10.071784,4C:75:25:CB:80:A2,2.0,1.0,1.2345189443353886,0.3528311795812712,heron,high,1.0023915047044127,no,1.2345189443353886,0.3528311795812712,heron,medium,1.0023915047044127,yes
